report_code,report_title,fight_id,boss_name,encounter_id,is_kill,difficulty,duration_seconds,boss_percentage,last_phase,fight_size,friendly_player_ids,_ingested_at,difficulty_label,outcome,zone_id,zone_name,start_time_utc,raid_night_date
14Vxjphq8GaY6Bwn,Sylvanas 5 jan,20,Sylvanas Windrunner,2435,False,5,285,83.94,2,20,[30 20  7 18  3 24  5 10  4  9 27 19  8 23 25 11 22  2  1  6],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-05 19:08:21.602,2022-01-05
14Vxjphq8GaY6Bwn,Sylvanas 5 jan,21,Sylvanas Windrunner,2435,False,5,338,83.94,2,20,[30 20  7 18  3 24  5 10  4  9 27 19  8 23 25 11 22  2  1  6],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-05 19:08:21.602,2022-01-05
14Vxjphq8GaY6Bwn,Sylvanas 5 jan,22,Sylvanas Windrunner,2435,False,5,302,83.9,2,20,[30 20  7 18  3 24  5 10  4  9 27 19  8 23 25 11 22  2  1  6],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-05 19:08:21.602,2022-01-05
14Vxjphq8GaY6Bwn,Sylvanas 5 jan,23,Sylvanas Windrunner,2435,False,5,244,83.95,1,20,[30 20  7 18  3 24  5 10  4  9 27 19  8 23 25 11 22  2  1  6],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-05 19:08:21.602,2022-01-05
14Vxjphq8GaY6Bwn,Sylvanas 5 jan,24,Sylvanas Windrunner,2435,False,5,131,86.9,1,20,[30 20  7 18  3 24  5 10  4  9 27 19  8 23 25 11 22  2  1  6],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-05 19:08:21.602,2022-01-05
14Vxjphq8GaY6Bwn,Sylvanas 5 jan,25,Sylvanas Windrunner,2435,False,5,160,85.94,1,20,[30 20  7 18  3 24  5 10  4  9 27 19  8 23 25 11 22  2  1  6],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-05 19:08:21.602,2022-01-05
14Vxjphq8GaY6Bwn,Sylvanas 5 jan,26,Sylvanas Windrunner,2435,False,5,211,83.92,1,20,[30 20  7 18  3 24  5 10  4  9 27 19  8 23 25 11 22  2  1  6],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-05 19:08:21.602,2022-01-05
14Vxjphq8GaY6Bwn,Sylvanas 5 jan,27,Sylvanas Windrunner,2435,False,5,284,83.93,2,20,[30 20  7 18  3 24  5 10  4  9 27 19  8 23 25 11 22  2  1  6],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-05 19:08:21.602,2022-01-05
14Vxjphq8GaY6Bwn,Sylvanas 5 jan,28,Sylvanas Windrunner,2435,False,5,319,83.94,2,20,[30 20  7 18  3 24  5 10  4  9 27 19  8 23 25 11 22  2  1  6],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-05 19:08:21.602,2022-01-05
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,1,Ulgrax the Devourer,2902,True,4,257,0.01,1,16,[11  7 15 14  9 10  8 12 13  5  6  3 16  4  2  1],2026-04-13T00:10:22.936577+00:00,Heroic,kill,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,2,The Bloodbound Horror,2917,False,4,23,99.99,0,15,[11  7 15 14  9 10  8 12 13  5  6  3 16  2  1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,3,The Bloodbound Horror,2917,True,4,280,0.01,0,16,[11  7 15 14  9 10 69  8 12 13  5  6  3 16  2  1],2026-04-13T00:10:22.936577+00:00,Heroic,kill,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,4,"Sikran, Captain of the Sureki",2898,True,4,244,0.32,0,16,[11  7 15 14  9 10 69  8 12 13  5  6  3 16  2  1],2026-04-13T00:10:22.936577+00:00,Heroic,kill,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,5,Rasha'nan,2918,True,4,266,0.01,0,16,[11  7 15 14  9 10 69  8 12 13  5  6  3 16  2  1],2026-04-13T00:10:22.936577+00:00,Heroic,kill,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,6,Broodtwister Ovi'nax,2919,False,4,329,44.38,0,16,[11  7 15 14  9 10 69  8 12 13  5  6  3 16  2  1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,7,Broodtwister Ovi'nax,2919,True,4,452,0.01,0,16,[11  7 15 14  9 10 69  8 12 13  5  6  3 16  2  1],2026-04-13T00:10:22.936577+00:00,Heroic,kill,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,8,Nexus-Princess Ky'veza,2920,False,4,417,3.15,2,16,[11  7 15 14  9 10 69  8 12 13  5  6  3 16  2  1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,9,Nexus-Princess Ky'veza,2920,True,4,292,0.01,1,16,[11  7 15 14  9 10 69  8 12 13  5  6  3 16  2  1],2026-04-13T00:10:22.936577+00:00,Heroic,kill,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,10,The Silken Court,2921,True,4,510,0.04,3,15,[11  7 15 14  9 10 69  8 12 13  6  3 16  2  1],2026-04-13T00:10:22.936577+00:00,Heroic,kill,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,11,Queen Ansurek,2922,False,4,144,58.14,1,17,[ 11   7  14   9  10 150   8  12  13 149   6   3  16 151   4   2   1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,12,Queen Ansurek,2922,False,4,83,73.0,1,17,[ 11   7  14   9  10 150   8  12  13 149   6   3  16 151   4   2   1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,13,Queen Ansurek,2922,False,4,228,49.42,2,17,[ 11   7  14   9  10 150   8  12  13 149   6   3  16 151   4   2   1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,14,Queen Ansurek,2922,False,4,156,53.86,1,17,[ 11   7  14   9  10 150   8  12  13 149   6   3  16 151   4   2   1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,15,Queen Ansurek,2922,False,4,45,82.14,1,17,[ 11   7  14   9  10 150   8  12  13 149   6   3  16 151   4   2   1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,16,Queen Ansurek,2922,False,4,264,47.66,2,17,[ 11   7  14   9  10 150   8  12  13 149   6   3  16 151   4   2   1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,17,Queen Ansurek,2922,False,4,294,48.97,2,17,[ 11   7  14   9  10 150   8  12  13 149   6   3  16 151   4   2   1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,18,Queen Ansurek,2922,False,4,176,49.14,1,17,[ 11   7  14 171   9  10 150   8  12 149   6   3  16 151   4   2   1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
TgnjqAGQWKFJ81R7,Social Raid 13/10 :Comfy:,19,Queen Ansurek,2922,False,4,168,48.97,1,16,[ 11   7 171   9  10 150   8  12 149   6   3  16 151   4   2   1],2026-04-13T00:10:22.936577+00:00,Heroic,wipe,38,Nerub-ar Palace,2024-10-13 18:16:36.477,2024-10-13
cyMKawqZX8YfVg6D,Sylvanas 26 jan,1,Sylvanas Windrunner,2435,False,5,47,99.47,1,20,[ 2  3 10 15  6  1  9 11  5  7  8 13  4 14],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-26 18:56:11.582,2022-01-26
cyMKawqZX8YfVg6D,Sylvanas 26 jan,2,Sylvanas Windrunner,2435,False,5,277,83.93,2,20,[ 2  3 49 10 15  6 50  1  9 29 11  5 33 34  7 13  8  4 36 14],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-26 18:56:11.582,2022-01-26
cyMKawqZX8YfVg6D,Sylvanas 26 jan,3,Sylvanas Windrunner,2435,False,5,64,92.09,1,20,[ 2  3 49 10 15  6 50  1  9 29 11  5 33 34  7 13  8  4 36 14],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-26 18:56:11.582,2022-01-26
cyMKawqZX8YfVg6D,Sylvanas 26 jan,4,Sylvanas Windrunner,2435,False,5,340,83.93,2,20,[ 2  3 49 10 15  6 50  1  9 29 11  5 33 34  7 13  8  4 36 14],2026-04-13T00:10:22.936577+00:00,Mythic,wipe,28,Sanctum of Domination,2022-01-26 18:56:11.582,2022-01-26
