report_code,fight_id,boss_name,encounter_id,difficulty,difficulty_label,zone_id,zone_name,duration_ms,role,actor_id,player_name,player_class,spec,avg_item_level,potion_use,healthstone_use,crit_rating,haste_rating,mastery_rating,versatility_rating,_ingested_at
dJDYmB9VrwFQj6PZ,24,"Rashok, the Elder",2680,4,Heroic,33,"Aberrus, the Shadowed Crucible",161992,dps,7,Magicwingers,Evoker,Augmentation,520.0,0,0,4436,2552,8546,3560,2026-04-13T00:10:22.936577+00:00
kRH7K3ajVbG24hCP,10,Halondrus the Reclaimer,2529,3,Normal,29,Sepulcher of the First Ones,291053,dps,19,Zrenak,Shaman,Enhancement,257.0,0,0,480,752,1690,242,2026-04-13T00:10:22.936577+00:00
jJR6C24cTLXDghrM,11,The Forgotten Experiments,2693,5,Mythic,33,"Aberrus, the Shadowed Crucible",292253,dps,7,Demboypaigon,Warrior,Arms,440.0,0,0,4130,5330,2177,1773,2026-04-13T00:10:22.936577+00:00
kQLMYvbjgFhNfRXZ,12,"Chimaerus, the Undreamt God",3306,4,Heroic,46,VS / DR / MQD,335227,dps,6,Megachomber,DeathKnight,Unholy,269.0,0,0,843,727,538,95,2026-04-13T00:10:22.936577+00:00
hQk721BYrVTKgMwc,51,Nexus-King Salhadaar,3134,4,Heroic,44,Manaforge Omega,331864,dps,11,Cogsy,Hunter,BeastMastery,707.0,0,0,11460,21704,16803,3871,2026-04-13T00:10:22.936577+00:00
twn3R47hpGjBDHya,18,"Larodar, Keeper of the Flame",2731,4,Heroic,35,"Amirdrassil, the Dream's Hope",222768,dps,15,Everzz,Shaman,Enhancement,470.0,0,0,2191,4305,4939,2622,2026-04-13T00:10:22.936577+00:00
HvJ6KkBRd4qD3yPx,26,Fractillus,3133,4,Heroic,44,Manaforge Omega,281798,dps,18,Yearnvoker,Evoker,Devastation,700.0,0,0,10324,17779,11143,12318,2026-04-13T00:10:22.936577+00:00
6NzHCPd9ZKDpgJ1t,20,The Silken Court,2921,4,Heroic,38,Nerub-ar Palace,450495,dps,26,Televisions,Priest,Shadow,612.0,0,0,5595,16312,13677,1511,2026-04-13T00:10:22.936577+00:00
4ygtXrDWwhcTNPGp,9,The Bloodbound Horror,2917,4,Heroic,38,Nerub-ar Palace,231464,dps,72,Roux,Rogue,Assassination,604.0,0,0,6545,5887,3728,8854,2026-04-13T00:10:22.936577+00:00
ngqd1JF4TtZmLMVv,17,The Council of Blood,2412,4,Heroic,26,Castle Nathria,376493,dps,143,Dbway,Mage,Fire,213.0,0,0,285,656,18,866,2026-04-13T00:10:22.936577+00:00
hPLqFDxWZ3JmRBjT,16,Broodtwister Ovi'nax,2919,5,Mythic,38,Nerub-ar Palace,474817,dps,16,Ashyminge,Mage,Frost,631.0,0,0,9364,8822,11439,11339,2026-04-13T00:10:22.936577+00:00
k69nMBwcAtPd4fbV,35,Volcoross,2737,5,Mythic,35,"Amirdrassil, the Dream's Hope",230914,dps,15,Ollieyay,DeathKnight,Unholy,488.0,0,0,3093,5037,5659,2482,2026-04-13T00:10:22.936577+00:00
3YvCrVK1bgGBnHPZ,3,The Eye of the Jailer,2433,3,Normal,28,Sanctum of Domination,215001,dps,19,Cryptod,DeathKnight,Frost,228.0,0,0,572,442,457,460,2026-04-13T00:10:22.936577+00:00
DWyKfvYraCZR9mJg,12,Queen Ansurek,2922,4,Heroic,38,Nerub-ar Palace,400099,dps,27,Hobbyalkis,Rogue,Assassination,616.0,0,0,14900,6568,11831,2693,2026-04-13T00:10:22.936577+00:00
3JZjK7xVzDLnPWTq,11,Raszageth the Storm-Eater,2607,4,Heroic,31,Vault of the Incarnates,623210,dps,2,Larssonhter,Hunter,Marksmanship,406.0,0,0,3666,1052,7267,2406,2026-04-13T00:10:22.936577+00:00
1JR3rTW7HjM928dC,11,Echo of Neltharion,2684,4,Heroic,33,"Aberrus, the Shadowed Crucible",240729,dps,111,Roadruid,Druid,Balance,444.0,0,0,1916,4288,5068,1934,2026-04-13T00:10:22.936577+00:00
24M6G9yKnQf8tRqN,32,Sire Denathrius,2407,4,Heroic,26,Castle Nathria,478536,dps,3,Pangbruden,Hunter,BeastMastery,214.0,0,0,480,711,238,377,2026-04-13T00:10:22.936577+00:00
AmWFQD1kV7xLHBaT,41,Gnarlroot,2820,4,Heroic,35,"Amirdrassil, the Dream's Hope",141854,dps,12,Sprutpesse,Priest,Shadow,511.0,0,0,2860,6019,4598,4628,2026-04-13T00:10:22.936577+00:00
FZRrB6M1HKmDn38g,22,Assault of the Zaqali,2682,3,Normal,33,"Aberrus, the Shadowed Crucible",46832,dps,19,Swolorno,Hunter,Marksmanship,435.0,0,0,4368,4366,2625,350,2026-04-13T00:10:22.936577+00:00
JNY1P9hgqwxLWby4,13,"Dathea, Ascended",2635,3,Normal,31,Vault of the Incarnates,193102,dps,8,Smonkste,Monk,Windwalker,386.0,0,0,3940,1248,950,2193,2026-04-13T00:10:22.936577+00:00
BNwd7DmQhGkxKpPc,7,Imperator Averzian,3176,5,Mythic,46,VS / DR / MQD,420424,dps,3,Hobbyalkis,Rogue,Subtlety,269.0,0,0,625,618,864,110,2026-04-13T00:10:22.936577+00:00
8WnpVdcDXqkmxLQ3,36,The Silken Court,2921,4,Heroic,38,Nerub-ar Palace,359292,dps,23,Explorer,Paladin,Retribution,622.0,0,0,10974,3347,17068,2939,2026-04-13T00:10:22.936577+00:00
4xHQp8NCZ1FnrB3X,37,The Silken Court,2921,4,Heroic,38,Nerub-ar Palace,433752,dps,44,Explorer,Paladin,Retribution,613.0,0,0,9411,5945,16381,2688,2026-04-13T00:10:22.936577+00:00
4ygtXrDWwhcTNPGp,32,The Silken Court,2921,4,Heroic,38,Nerub-ar Palace,450473,dps,66,Ivaspear,Hunter,Survival,630.0,0,0,9507,9395,17847,1560,2026-04-13T00:10:22.936577+00:00
