report_code,report_title,start_time_utc,end_time_utc,zone_id,zone_name,raid_night_date,primary_difficulty,total_pulls,boss_kills,total_wipes,total_fight_seconds,unique_bosses_engaged,unique_bosses_killed
yJPjY4GFnvgDd7aH,2023-09-29 team 1 alt raid,2024-09-29T17:58:20.955Z,2024-09-29T19:22:55.638Z,38,Nerub-ar Palace,2024-09-29,Normal,11,8,3,2219,8,8
MhvCfdQZtA2aWB71,2024-05-13 myffic,2024-05-13T18:11:49.659Z,2024-05-13T19:46:24.415Z,35,"Amirdrassil, the Dream's Hope",2024-05-13,Mythic,12,3,9,2522,4,3
4zwRfFcBKAaZ86Yp,Mythic 3/10,2021-08-23T18:21:05.768Z,2021-08-23T20:14:33.678Z,28,Sanctum of Domination,2021-08-23,Mythic,12,3,9,3406,3,3
kyJpCYrFA4Gbv17j,Heroic alt raid,2021-03-14T18:58:35.929Z,2021-03-14T21:59:10.964Z,26,Castle Nathria,2021-03-14,Heroic,17,8,9,3893,8,8
QDMa7kALwpz4mbNr,Guardian,2021-11-03T19:00:10.528Z,2021-11-03T22:01:02.532Z,28,Sanctum of Domination,2021-11-03,Mythic,38,0,38,4767,1,0
kzD1MmaqpNWPhtL4,2023-10-25 reclear,2023-10-25T18:56:49.459Z,2023-10-25T21:09:12.955Z,33,"Aberrus, the Shadowed Crucible",2023-10-25,Mythic,18,0,18,4349,1,0
RQFbjT34GyYVZBHA,CN heroic alt run,2021-04-04T18:01:52.852Z,2021-04-04T21:47:11.156Z,26,Castle Nathria,2021-04-04,Heroic,20,7,13,4460,7,7
VCaPR3FZ6L4wM9p7,"HC Reclear + Shriek, Altimor, Xy'mox",2021-02-24T18:59:30.265Z,2021-02-24T22:21:27.070Z,26,Castle Nathria,2021-02-24,Heroic,19,7,12,5297,6,6
PYnrdK9V2kFvmNwA,2024-09-11 FIRST TWW RAID,2024-09-11T17:52:09.809Z,2024-09-11T20:57:57.930Z,38,Nerub-ar Palace,2024-09-11,Heroic,19,9,10,3937,8,8
tMKRpzq23H4hAybm,2025-10-22 LEFT SIDE,2025-10-22T17:56:37.097Z,2025-10-22T20:59:44.162Z,44,Manaforge Omega,2025-10-22,Mythic,40,0,40,5592,1,0
xNRrdBfvPqJgbDGY,ellie hc brd,2024-10-27T19:15:33.654Z,2024-10-27T20:47:42.780Z,40,Blackrock Depths,2024-10-27,Heroic,15,2,13,3336,3,2
hPLqFDxWZ3JmRBjT,Ovi'nax Kill (????) 11-25,2024-11-25T18:59:54.000Z,2024-11-25T20:31:17.731Z,38,Nerub-ar Palace,2024-11-25,Mythic,10,1,9,2343,2,1
6MvHbdrZ1qXTWcj2,2023-05-24,2023-05-24T17:55:39.934Z,2023-05-24T21:04:07.676Z,33,"Aberrus, the Shadowed Crucible",2023-05-24,Heroic,21,8,13,4653,9,8
qR6McdabCYJ8GF71,2023-07-31 Neltharion,2023-07-31T18:18:50.794Z,2023-07-31T21:01:08.375Z,33,"Aberrus, the Shadowed Crucible",2023-07-31,Mythic,27,0,27,5613,1,0
xwrFDcC27QZdNbTm,14 march,2022-03-14T18:53:54.538Z,2022-03-14T22:00:29.900Z,29,Sepulcher of the First Ones,2022-03-14,Heroic,28,3,25,5090,4,3
j9t2WnbC14fTGvY6,2025-07-16 GALLYGYATT,2025-07-16T18:20:59.208Z,2025-07-16T20:41:04.970Z,42,Liberation of Undermine,2025-07-16,Mythic,16,1,15,3694,1,1
NTw9j3ZvyVzgA7MP,Castle Nathria,2021-03-08T19:00:06.747Z,2021-03-08T22:33:51.016Z,26,Castle Nathria,2021-03-08,Mythic,29,0,29,7213,1,0
Y4dkJA8rghb7ajN9,2023-09-13 sark,2023-09-13T17:58:36.268Z,2023-09-13T21:00:08.515Z,33,"Aberrus, the Shadowed Crucible",2023-09-13,Mythic,25,0,25,6210,1,0
3YvCrVK1bgGBnHPZ,normal after tarragrue,2021-08-15T16:15:17.624Z,2021-08-15T17:59:55.223Z,28,Sanctum of Domination,2021-08-15,Normal,9,9,0,2643,9,9
kXYNz3W8FDL4Vgpa,2023-03-13 diurna kill,2023-03-13T18:50:00.612Z,2023-03-13T22:04:01.093Z,31,Vault of the Incarnates,2023-03-13,Mythic,26,1,25,3962,2,1
YbCwpaTym8PqL21B,Skippy Wippy into Mythy Wythy,2023-12-13T18:54:36.817Z,2023-12-13T22:14:24.875Z,35,"Amirdrassil, the Dream's Hope",2023-12-13,Heroic,21,8,13,4888,7,7
cb6yx8r9zq7RtXn2, Wanchan and TV Pug Adventures For Real This Time,2024-09-17T14:44:21.823Z,2024-09-17T23:42:00.962Z,38,Nerub-ar Palace,2024-09-17,Heroic,41,7,34,7124,7,7
L4JFXt3q8w7gBdv1,Raz Apr 10 Blue,2023-04-10T17:38:10.121Z,2023-04-10T21:08:59.336Z,31,Vault of the Incarnates,2023-04-10,Mythic,19,0,19,8017,1,0
qkg4MK86VWy9hwB1,hc painsmith,2021-07-19T18:21:31.173Z,2021-07-19T21:11:31.931Z,28,Sanctum of Domination,2021-07-19,Heroic,25,2,23,5413,2,2
zpXNbtCG6qv8mWTd,2024-01-03,2024-01-03T18:50:34.666Z,2024-01-03T22:04:08.351Z,35,"Amirdrassil, the Dream's Hope",2024-01-03,Heroic,22,7,15,5253,8,7
Pg14DZpfyFChjnkq,HC Clean Up,2023-11-21T20:12:50.141Z,2023-11-21T22:39:05.382Z,35,"Amirdrassil, the Dream's Hope",2023-11-21,Heroic,21,1,20,4583,1,1
2A6pqG1h84QnfWg9,2023-08-16 sark,2023-08-16T19:28:50.906Z,2023-08-16T20:59:07.559Z,33,"Aberrus, the Shadowed Crucible",2023-08-16,Mythic,22,0,22,2383,1,0
9PDYAwZB6LM3Hmgf,2024-10-02 unemployed raid,2024-10-02T12:30:32.694Z,2024-10-02T13:51:45.474Z,38,Nerub-ar Palace,2024-10-02,Normal,8,8,0,1434,8,8
