name,player_class,realm,rank,rank_label,rank_category,is_active,total_raids_tracked,raids_present,attendance_rate_pct,last_raid_date,first_raid_date,possible_main,has_possible_alt_in_logs
Temitiri,Shaman,twisting-nether,2,Officer,Officer,true,125,125,100.0,2026-01-20,2023-05-21,Temitiri,false
Momoos,Shaman,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Momoos,false
Momojadsie,Priest,twisting-nether,3,Officer Alt,Officer,true,45,45,100.0,2025-06-18,2022-12-14,Momojadsie,false
Estrogel,Evoker,twisting-nether,8,Trial,Trial,true,5,5,100.0,2026-04-15,2026-04-01,Estrogel,false
Bpd,Warlock,twisting-nether,8,Trial,Trial,true,26,26,100.0,2026-03-30,2025-03-05,Bpd,false
Yevoo,Monk,twisting-nether,3,Officer Alt,Officer,true,4,4,100.0,2025-03-09,2023-02-26,Yevoo,false
Midnight,Mage,silvermoon,5,Raider,Raider,true,12,12,100.0,2026-04-20,2026-01-26,Midnight,true
Momolaena,Rogue,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Momolaena,false
Temtem,Rogue,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Temtem,false
Temra,Warlock,twisting-nether,3,Officer Alt,Officer,true,121,121,100.0,2024-10-06,2021-04-18,Temra,false
Crustygems,Mage,twisting-nether,3,Officer Alt,Officer,true,1,1,100.0,2024-10-23,2024-10-23,Crustygems,false
Cheatjeff,Rogue,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Cheatjeff,true
Rättball,Paladin,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Rättball,false
Garsias,Shaman,tarren-mill,5,Raider,Raider,true,56,56,100.0,2026-04-20,2025-08-13,Garsias,false
Momorizzy,Demon Hunter,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Momorizzy,false
Bamie,Monk,twisting-nether,3,Officer Alt,Officer,true,32,32,100.0,2022-09-12,2021-08-10,Bamie,false
Bamies,Warlock,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Bamies,false
Evestirwin,Demon Hunter,twisting-nether,3,Officer Alt,Officer,true,5,5,100.0,2025-07-06,2024-06-05,Evestirwin,false
Devouthooves,Paladin,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Devouthooves,false
Jointsuckerr,Shaman,twisting-nether,8,Trial,Trial,true,7,7,100.0,2026-04-20,2024-09-15,Jointsuckerr,true
Temiria,Warrior,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Temiria,true
Karllia,Demon Hunter,argent-dawn,5,Raider,Raider,true,38,38,100.0,2026-04-20,2025-10-20,Karllia,false
Lanus,Monk,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Lanus,false
Yearning,Monk,twisting-nether,5,Raider,Raider,true,120,120,100.0,2026-04-20,2024-01-10,Yearning,true
Jadsrune,Death Knight,twisting-nether,2,Officer,Officer,true,12,12,100.0,2026-04-20,2026-02-02,Jadsrune,false
Yevi,Evoker,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Yevi,false
Fauxcoated,Monk,twisting-nether,3,Officer Alt,Officer,true,4,4,100.0,2025-09-14,2023-12-10,Fauxcoated,false
Temers,Mage,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Temers,true
Näe,Warlock,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Näe,false
Turbohot,Hunter,twisting-nether,5,Raider,Raider,true,212,212,100.0,2026-04-20,2022-03-02,Turbohot,true
Bami,Mage,twisting-nether,3,Officer Alt,Officer,true,40,40,100.0,2021-04-07,2021-01-25,Bami,false
Bamoo,Druid,twisting-nether,1,GM Alt,GM,true,19,19,100.0,2025-03-19,2021-03-20,Bamoo,false
