player_name,player_class,total_deaths,kills_tracked,deaths_per_kill,most_common_killing_blow,most_common_killing_blow_count,top_killing_blows_json,zones_died_in,last_death_timestamp_ms
Bensbear,Druid,100,34,2.94,Polarized Catastro-Blast,20,"[{""name"":""Polarized Catastro-Blast"",""count"":20},{""name"":""Discarded Doomsplosive"",""count"":9},{""name"":""Short Fuse"",""count"":8}]","[""Liberation of Undermine""]",10745002
Kalshiro,Druid,20,7,2.86,Lair Weaving,2,"[{""name"":""Lair Weaving"",""count"":2},{""name"":""Devourer's Ire"",""count"":2},{""name"":""Eradicate"",""count"":1}]","[""Manaforge Omega""]",7843666
Rizzleton,Shaman,389,137,2.84,Polarized Catastro-Blast,28,"[{""name"":""Polarized Catastro-Blast"",""count"":28},{""name"":""Unstable Cluster Bomb"",""count"":23},{""name"":""Discarded Doomsplosive"",""count"":19}]","[""Liberation of Undermine"",""Nerub-ar Palace""]",11364112
Belcarra,Rogue,25,9,2.78,Blaze,4,"[{""name"":""Blaze"",""count"":4},{""name"":""Firewall"",""count"":4},{""name"":""Venom Nova"",""count"":3}]","[""Nerub-ar Palace"",""Blackrock Depths""]",8935728
Benshammy,Shaman,25,9,2.78,Reactive Froth,4,"[{""name"":""Reactive Froth"",""count"":4},{""name"":""Blaring Drop"",""count"":3},{""name"":""Elemental Calamity"",""count"":3}]","[""Nerub-ar Palace"",""Liberation of Undermine""]",9170926
Jumzo,Paladin,896,323,2.77,Oblivion,62,"[{""name"":""Oblivion"",""count"":62},{""name"":""Melee"",""count"":56},{""name"":""Astral Surge"",""count"":27}]","[""Blackrock Depths"",""Nerub-ar Palace"",""Manaforge Omega"",""Liberation of Undermine"",""VS / DR / MQD""]",25131288
Eppatdh,DemonHunter,11,4,2.75,Violent Eruption,2,"[{""name"":""Violent Eruption"",""count"":2},{""name"":""Volatile Spew"",""count"":2},{""name"":""Unstable Essence"",""count"":2}]","[""Aberrus, the Shadowed Crucible""]",5460947
Nazrelina,Warrior,8,3,2.67,Liquefy,2,"[{""name"":""Liquefy"",""count"":2},{""name"":""Feast"",""count"":2},{""name"":""Venom Nova"",""count"":2}]","[""Nerub-ar Palace""]",7698732
Lazlow,Warlock,8,3,2.67,Acrid Presence,1,"[{""name"":""Acrid Presence"",""count"":1},{""name"":""Melee"",""count"":1},{""name"":""Web Vortex"",""count"":1}]","[""Nerub-ar Palace""]",7703633
Explorer,Paladin,758,285,2.66,Melee,57,"[{""name"":""Melee"",""count"":57},{""name"":""Reckless Impact"",""count"":33},{""name"":""Polarized Catastro-Blast"",""count"":23}]","[""Liberation of Undermine"",""Blackrock Depths"",""Nerub-ar Palace""]",21485070
Aideen,Warlock,207,81,2.56,Reckless Impact,27,"[{""name"":""Reckless Impact"",""count"":27},{""name"":""Dark Viscera"",""count"":20},{""name"":""Reaper"",""count"":18}]","[""Nerub-ar Palace""]",20026740
Budgetgoku,Paladin,433,172,2.52,Melee,75,"[{""name"":""Melee"",""count"":75},{""name"":""Double-Minded Fury"",""count"":23},{""name"":""Liquefy"",""count"":13}]","[""Nerub-ar Palace"",""Liberation of Undermine"",""VS / DR / MQD"",""Manaforge Omega""]",11382251
Yearning,Monk,1038,418,2.48,Oblivion,43,"[{""name"":""Oblivion"",""count"":43},{""name"":""Betrayal"",""count"":39},{""name"":""Reckless Impact"",""count"":27}]","[""Amirdrassil, the Dream's Hope"",""Manaforge Omega"",""Aberrus, the Shadowed Crucible"",""Nerub-ar Palace"",""Vault of the Incarnates"",""Liberation of Undermine"",""VS / DR / MQD""]",25132033
Temitiri,Shaman,915,374,2.45,Reckless Impact,54,"[{""name"":""Reckless Impact"",""count"":54},{""name"":""Melee"",""count"":41},{""name"":""Oblivion"",""count"":38}]","[""Nerub-ar Palace"",""Liberation of Undermine"",""Vault of the Incarnates"",""Manaforge Omega"",""Amirdrassil, the Dream's Hope"",""Aberrus, the Shadowed Crucible""]",24945938
Enjiie,DemonHunter,366,152,2.41,Discarded Doomsplosive,23,"[{""name"":""Discarded Doomsplosive"",""count"":23},{""name"":""Polarized Catastro-Blast"",""count"":22},{""name"":""Double-Minded Fury"",""count"":21}]","[""Liberation of Undermine"",""Nerub-ar Palace""]",11180985
Wanchan,Mage,767,322,2.38,Melee,42,"[{""name"":""Melee"",""count"":42},{""name"":""Reckless Impact"",""count"":35},{""name"":""Betrayal"",""count"":27}]","[""Liberation of Undermine"",""Nerub-ar Palace"",""Vault of the Incarnates""]",19500467
Cogsy,Hunter,184,79,2.33,Astral Surge,22,"[{""name"":""Astral Surge"",""count"":22},{""name"":""Crystalline Shockwave"",""count"":12},{""name"":""Arcane Siphon"",""count"":12}]","[""Manaforge Omega""]",15215283
Pattern,Warlock,169,73,2.32,Double-Minded Fury,18,"[{""name"":""Double-Minded Fury"",""count"":18},{""name"":""Unstable Cluster Bomb"",""count"":17},{""name"":""Canister Detonation"",""count"":12}]","[""Liberation of Undermine"",""Manaforge Omega"",""Nerub-ar Palace""]",9363899
Yearnvoker,Evoker,185,83,2.23,Astral Surge,22,"[{""name"":""Astral Surge"",""count"":22},{""name"":""Oblivion"",""count"":9},{""name"":""Crystalline Shockwave"",""count"":9}]","[""Manaforge Omega""]",15315254
Willowwisp,Druid,414,189,2.19,Unstable Cluster Bomb,22,"[{""name"":""Unstable Cluster Bomb"",""count"":22},{""name"":""Polarized Catastro-Blast"",""count"":18},{""name"":""Pay-Line"",""count"":14}]","[""Nerub-ar Palace"",""Liberation of Undermine""]",19516189
Evereld,Priest,394,180,2.19,Cosmic Radiation,39,"[{""name"":""Cosmic Radiation"",""count"":39},{""name"":""Dark Energy"",""count"":36},{""name"":""Tyranny"",""count"":20}]","[""Liberation of Undermine"",""Manaforge Omega""]",24955454
Ney,Priest,13,6,2.17,Crystalline Shockwave,2,"[{""name"":""Crystalline Shockwave"",""count"":2},{""name"":""Void Surge"",""count"":1},{""name"":""Arcane Obliteration"",""count"":1}]","[""Manaforge Omega""]",8913439
Sebaheoung,Warlock,473,227,2.08,Oblivion,46,"[{""name"":""Oblivion"",""count"":46},{""name"":""Tyranny"",""count"":26},{""name"":""Astral Surge"",""count"":24}]","[""Manaforge Omega"",""Liberation of Undermine"",""Nerub-ar Palace"",""Vault of the Incarnates"",""VS / DR / MQD""]",24950713
Pouflepalouf,Paladin,6,3,2.0,Acrid Presence,2,"[{""name"":""Acrid Presence"",""count"":2},{""name"":""Reaction Vapor"",""count"":1},{""name"":""Predation Threads"",""count"":1}]","[""Nerub-ar Palace""]",7381535
Hreidamar,Rogue,4,2,2.0,Zagging Zizzler,2,"[{""name"":""Zagging Zizzler"",""count"":2},{""name"":""Canister Detonation"",""count"":1}]","[""Liberation of Undermine""]",4050443
Hatewatching,Monk,4,2,2.0,Blastburn Roarcannon,2,"[{""name"":""Blastburn Roarcannon"",""count"":2},{""name"":""Unrelenting CAR-nage"",""count"":1},{""name"":""Zapbolt"",""count"":1}]","[""Liberation of Undermine""]",8973770
Chardadot,Druid,2,1,2.0,Oblivion,1,"[{""name"":""Oblivion"",""count"":1},{""name"":""Darkened Sky"",""count"":1}]","[""Manaforge Omega""]",441884
Ilealie,Priest,2,0,2.0,Self-Destruct,1,"[{""name"":""Self-Destruct"",""count"":1}]","[""Manaforge Omega""]",5837178
Danoox,DemonHunter,2,0,2.0,Self-Destruct,1,"[{""name"":""Self-Destruct"",""count"":1}]","[""Manaforge Omega""]",5837177
Qiceti,Hunter,2,1,2.0,Crystalline Shockwave,2,"[{""name"":""Crystalline Shockwave"",""count"":2}]","[""Manaforge Omega""]",4737575
Màssàcro,Paladin,2,0,2.0,Binding Webs,1,"[{""name"":""Binding Webs"",""count"":1},{""name"":""Poison Bolt"",""count"":1}]","[""Nerub-ar Palace""]",601367
Vécseykarcsi,DeathKnight,2,0,2.0,Melee,1,"[{""name"":""Melee"",""count"":1},{""name"":""Reap"",""count"":1}]","[""Manaforge Omega""]",5844196
Izlandhil,Paladin,2,0,2.0,Melee,1,"[{""name"":""Melee"",""count"":1}]","[""Manaforge Omega""]",5853054
Jage,Mage,2,0,2.0,Self-Destruct,1,"[{""name"":""Self-Destruct"",""count"":1}]","[""Manaforge Omega""]",5837170
