player_name,realm_slug,region,profile_url,season,snapshot_at,score_all,score_dps,score_healer,score_tank,world_rank,region_rank,realm_rank,total_runs,timed_runs,untimed_runs,highest_timed_level,highest_untimed_level,most_common_key_level,most_common_key_count,best_run_dungeon,best_run_short_name,best_run_level,best_run_score,best_run_timed,best_run_completed_at,best_run_url
Spiritboxx,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Spiritboxx,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Spookieez,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Spookieez,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sprutblood,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sprutblood,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sprutpeess,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sprutpeess,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sprutpess,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sprutpess,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sprutpesse,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sprutpesse,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sprutpessen,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sprutpessen,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sprutpessern,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sprutpessern,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sprutpesset,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sprutpesset,current,2026-04-19T22:49:32.697Z,3245.8,3245.8,0.0,0.0,124636,48087,3092,12,11,1,15,15,15,5,Magisters' Terrace,MT,15,413.6,true,2026-04-16T19:45:58.000Z,https://raider.io/mythic-plus-runs/season-mn-1/13351977-15-magisters-terrace
Sprutpessn,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sprutpessn,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sprutpiss,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sprutpiss,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sprutpissen,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sprutpissen,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Spruutpess,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Spruutpess,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Spunkmachine,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Spunkmachine,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sqyro,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sqyro,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Stabula,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Stabula,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Stard,argent-dawn,eu,https://raider.io/characters/eu/argent-dawn/Stard,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sterlingdual,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sterlingdual,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Stic,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Stic,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Stinkygirl,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Stinkygirl,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Storpappsen,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Storpappsen,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Stradevarius,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Stradevarius,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Sumika,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Sumika,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Superfan,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Superfan,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Surgedealer,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Surgedealer,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Swanvoker,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Swanvoker,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Swiftbrook,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Swiftbrook,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Swolic,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Swolic,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Swoltide,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Swoltide,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Tackostealth,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Tackostealth,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Tangrowth,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Tangrowth,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
