encounter_id,boss_name,zone_name,difficulty,difficulty_label,raid_night_date,report_code,report_title,start_time_utc,end_time_utc,fight_id,is_kill,boss_percentage,boss_hp_remaining,duration_seconds,last_phase
2435,Sylvanas Windrunner,Sanctum of Domination,5,Mythic,2022-01-05,14Vxjphq8GaY6Bwn,Sylvanas 5 jan,2022-01-05T19:08:21.602Z,2022-01-05T22:01:46.895Z,28,false,83.94,83.94,319,2
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,4,Heroic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,1,true,0.02,0.0,253,2
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,6,false,72.81,72.81,157,2
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,7,false,51.52,51.52,212,2
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,8,false,74.94,74.94,72,1
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,9,false,73.93,73.93,157,2
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,10,true,0.01,0.0,391,2
3176,Imperator Averzian,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,14,true,0.01,0.0,384,0
3177,Vorasius,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,17,false,65.0,65.0,123,0
3177,Vorasius,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,18,false,2.42,2.42,382,0
3177,Vorasius,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,19,false,99.96,99.96,36,0
3177,Vorasius,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,20,false,65.36,65.36,121,0
3177,Vorasius,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,22,false,1.07,1.07,385,0
3177,Vorasius,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,23,true,0.02,0.0,359,0
3179,Fallen-King Salhadaar,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,28,false,24.02,24.02,340,1
3179,Fallen-King Salhadaar,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,29,false,24.57,24.57,274,1
3179,Fallen-King Salhadaar,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,30,false,49.38,49.38,194,1
3179,Fallen-King Salhadaar,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,31,false,16.02,16.02,340,1
3179,Fallen-King Salhadaar,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,32,false,79.27,79.27,47,1
3179,Fallen-King Salhadaar,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,33,false,60.12,60.12,124,1
3179,Fallen-King Salhadaar,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,34,false,23.77,23.77,330,1
3179,Fallen-King Salhadaar,VS / DR / MQD,5,Mythic,2026-04-15,PkmcAzgyjQfGwMZB,Reclear 2 Electric Boogaloo 04-15,2026-04-15T18:17:46.823Z,2026-04-15T21:18:22.168Z,35,false,45.19,45.19,190,1
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",5,Mythic,2023-09-25,yxrwPNXdf4nFVC2j,2023-09-25 sark,2023-09-25T17:53:51.289Z,2023-09-25T20:57:30.700Z,2,false,50.6,50.6,243,3
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",5,Mythic,2023-09-25,yxrwPNXdf4nFVC2j,2023-09-25 sark,2023-09-25T17:53:51.289Z,2023-09-25T20:57:30.700Z,3,false,52.96,52.96,270,3
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",5,Mythic,2023-09-25,yxrwPNXdf4nFVC2j,2023-09-25 sark,2023-09-25T17:53:51.289Z,2023-09-25T20:57:30.700Z,4,false,80.17,80.17,55,1
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",5,Mythic,2023-09-25,yxrwPNXdf4nFVC2j,2023-09-25 sark,2023-09-25T17:53:51.289Z,2023-09-25T20:57:30.700Z,5,false,52.66,52.66,235,3
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",5,Mythic,2023-09-25,yxrwPNXdf4nFVC2j,2023-09-25 sark,2023-09-25T17:53:51.289Z,2023-09-25T20:57:30.700Z,6,false,69.78,69.78,115,2
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",5,Mythic,2023-09-25,yxrwPNXdf4nFVC2j,2023-09-25 sark,2023-09-25T17:53:51.289Z,2023-09-25T20:57:30.700Z,7,false,68.21,68.21,129,2
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",5,Mythic,2023-09-25,yxrwPNXdf4nFVC2j,2023-09-25 sark,2023-09-25T17:53:51.289Z,2023-09-25T20:57:30.700Z,8,false,46.17,46.17,283,3
