week_start,raid_nights,total_boss_kills,total_wipes,total_pulls,total_raid_seconds,zones_raided
2023-01-30T00:00:00.000Z,2,7,41,48,10561,"[""Vault of the Incarnates""]"
2023-02-06T00:00:00.000Z,2,6,41,47,12172,"[""Vault of the Incarnates""]"
2023-02-13T00:00:00.000Z,2,5,54,59,10902,"[""Vault of the Incarnates""]"
2023-02-20T00:00:00.000Z,3,15,43,58,14837,"[""Vault of the Incarnates""]"
2023-02-27T00:00:00.000Z,2,1,55,56,12120,"[""Vault of the Incarnates""]"
2023-03-06T00:00:00.000Z,4,10,32,42,9181,"[""Vault of the Incarnates""]"
2023-03-13T00:00:00.000Z,2,1,56,57,9039,"[""Vault of the Incarnates""]"
2023-03-20T00:00:00.000Z,2,0,61,61,10407,"[""Vault of the Incarnates""]"
2023-03-27T00:00:00.000Z,2,0,57,57,12911,"[""Vault of the Incarnates""]"
2023-04-03T00:00:00.000Z,4,0,87,87,24160,"[""Vault of the Incarnates""]"
2023-04-10T00:00:00.000Z,3,1,39,40,17900,"[""Vault of the Incarnates""]"
2023-04-17T00:00:00.000Z,2,3,20,23,6414,"[""Vault of the Incarnates""]"
2023-04-24T00:00:00.000Z,3,7,15,22,7203,"[""Vault of the Incarnates""]"
2023-05-08T00:00:00.000Z,1,8,12,20,4503,"[""Aberrus, the Shadowed Crucible""]"
2023-05-15T00:00:00.000Z,3,25,31,56,12934,"[""Aberrus, the Shadowed Crucible""]"
2023-05-22T00:00:00.000Z,3,29,37,66,14482,"[""Aberrus, the Shadowed Crucible""]"
2023-05-29T00:00:00.000Z,3,25,36,61,12829,"[""Aberrus, the Shadowed Crucible""]"
2023-06-05T00:00:00.000Z,2,12,34,46,9803,"[""Aberrus, the Shadowed Crucible""]"
2023-06-12T00:00:00.000Z,2,6,48,54,10434,"[""Aberrus, the Shadowed Crucible""]"
2023-06-19T00:00:00.000Z,2,7,38,45,10799,"[""Aberrus, the Shadowed Crucible""]"
2023-06-26T00:00:00.000Z,2,9,23,32,8668,"[""Aberrus, the Shadowed Crucible""]"
2023-07-03T00:00:00.000Z,2,5,42,47,11111,"[""Aberrus, the Shadowed Crucible""]"
2023-07-10T00:00:00.000Z,2,7,39,46,11398,"[""Aberrus, the Shadowed Crucible""]"
2023-07-17T00:00:00.000Z,2,3,46,49,10563,"[""Aberrus, the Shadowed Crucible""]"
2023-07-24T00:00:00.000Z,2,2,47,49,9841,"[""Aberrus, the Shadowed Crucible""]"
2023-07-31T00:00:00.000Z,2,0,55,55,11306,"[""Aberrus, the Shadowed Crucible""]"
2023-08-07T00:00:00.000Z,2,0,47,47,13115,"[""Aberrus, the Shadowed Crucible""]"
2023-08-14T00:00:00.000Z,3,1,51,52,11526,"[""Aberrus, the Shadowed Crucible""]"
2023-08-21T00:00:00.000Z,2,0,63,63,9902,"[""Aberrus, the Shadowed Crucible""]"
2023-08-28T00:00:00.000Z,2,0,58,58,10438,"[""Aberrus, the Shadowed Crucible""]"
2023-09-04T00:00:00.000Z,2,0,56,56,10555,"[""Aberrus, the Shadowed Crucible""]"
2023-09-11T00:00:00.000Z,2,0,57,57,11985,"[""Aberrus, the Shadowed Crucible""]"
2023-09-18T00:00:00.000Z,2,0,53,53,11242,"[""Aberrus, the Shadowed Crucible""]"
2023-09-25T00:00:00.000Z,2,0,53,53,12265,"[""Aberrus, the Shadowed Crucible""]"
2023-10-02T00:00:00.000Z,2,0,52,52,13899,"[""Aberrus, the Shadowed Crucible""]"
2023-10-09T00:00:00.000Z,2,1,43,44,12637,"[""Aberrus, the Shadowed Crucible""]"
2023-10-16T00:00:00.000Z,1,1,26,27,5950,"[""Aberrus, the Shadowed Crucible""]"
2023-10-23T00:00:00.000Z,1,0,18,18,4349,"[""Aberrus, the Shadowed Crucible""]"
2023-10-30T00:00:00.000Z,2,3,48,51,11860,"[""Aberrus, the Shadowed Crucible""]"
2023-11-13T00:00:00.000Z,1,11,7,18,4030,"[""Amirdrassil, the Dream's Hope""]"
2023-11-20T00:00:00.000Z,3,20,66,86,17255,"[""Amirdrassil, the Dream's Hope""]"
2023-11-27T00:00:00.000Z,2,13,44,57,14114,"[""Amirdrassil, the Dream's Hope""]"
2023-12-04T00:00:00.000Z,2,23,23,46,9380,"[""Amirdrassil, the Dream's Hope""]"
2023-12-11T00:00:00.000Z,2,10,34,44,9799,"[""Amirdrassil, the Dream's Hope""]"
2023-12-18T00:00:00.000Z,2,7,45,52,10013,"[""Amirdrassil, the Dream's Hope""]"
2023-12-25T00:00:00.000Z,1,8,8,16,3996,"[""Amirdrassil, the Dream's Hope""]"
2024-01-01T00:00:00.000Z,2,12,21,33,7864,"[""Amirdrassil, the Dream's Hope""]"
2024-01-08T00:00:00.000Z,2,9,31,40,10228,"[""Amirdrassil, the Dream's Hope""]"
2024-01-15T00:00:00.000Z,2,6,27,33,8009,"[""Amirdrassil, the Dream's Hope""]"
2024-01-22T00:00:00.000Z,2,10,55,65,12451,"[""Amirdrassil, the Dream's Hope""]"
2024-01-29T00:00:00.000Z,2,0,58,58,10106,"[""Amirdrassil, the Dream's Hope""]"
2024-02-05T00:00:00.000Z,2,0,57,57,11415,"[""Amirdrassil, the Dream's Hope""]"
2024-02-12T00:00:00.000Z,1,0,29,29,6121,"[""Amirdrassil, the Dream's Hope""]"
2024-02-19T00:00:00.000Z,1,0,32,32,6358,"[""Amirdrassil, the Dream's Hope""]"
2024-02-26T00:00:00.000Z,1,0,32,32,6911,"[""Amirdrassil, the Dream's Hope""]"
2024-03-04T00:00:00.000Z,1,1,11,12,2405,"[""Amirdrassil, the Dream's Hope""]"
2024-04-22T00:00:00.000Z,1,14,3,17,3535,"[""Vault of the Incarnates""]"
2024-04-29T00:00:00.000Z,2,27,9,36,8651,"[""Aberrus, the Shadowed Crucible"",""Vault of the Incarnates""]"
2024-05-06T00:00:00.000Z,2,22,21,43,8462,"[""Aberrus, the Shadowed Crucible"",""Amirdrassil, the Dream's Hope""]"
2024-05-13T00:00:00.000Z,2,13,9,22,4613,"[""Amirdrassil, the Dream's Hope"",""Vault of the Incarnates""]"
2024-05-27T00:00:00.000Z,1,8,1,9,1926,"[""Amirdrassil, the Dream's Hope""]"
2024-06-03T00:00:00.000Z,1,8,1,9,2059,"[""Vault of the Incarnates""]"
2024-06-10T00:00:00.000Z,1,9,3,12,2029,"[""Aberrus, the Shadowed Crucible""]"
2024-06-17T00:00:00.000Z,1,9,1,10,2165,"[""Amirdrassil, the Dream's Hope""]"
2024-08-19T00:00:00.000Z,1,26,1,27,4492,"[""Vault of the Incarnates""]"
2024-09-09T00:00:00.000Z,3,25,21,46,9334,"[""Nerub-ar Palace""]"
2024-09-16T00:00:00.000Z,5,61,74,135,27681,"[""Nerub-ar Palace""]"
2024-09-23T00:00:00.000Z,5,38,63,101,17884,"[""Nerub-ar Palace""]"
2024-09-30T00:00:00.000Z,4,22,72,94,17820,"[""Nerub-ar Palace""]"
2024-10-07T00:00:00.000Z,3,18,45,63,15078,"[""Nerub-ar Palace""]"
2024-10-14T00:00:00.000Z,2,9,45,54,9609,"[""Nerub-ar Palace""]"
2024-10-21T00:00:00.000Z,2,7,44,51,9839,"[""Nerub-ar Palace""]"
2024-10-28T00:00:00.000Z,3,22,53,75,11501,"[""Nerub-ar Palace""]"
2024-11-04T00:00:00.000Z,2,4,58,62,10702,"[""Nerub-ar Palace""]"
2024-11-11T00:00:00.000Z,2,4,57,61,9858,"[""Nerub-ar Palace""]"
2024-11-18T00:00:00.000Z,3,11,43,54,14068,"[""Nerub-ar Palace""]"
2024-11-25T00:00:00.000Z,2,1,59,60,7205,"[""Nerub-ar Palace""]"
2024-12-02T00:00:00.000Z,2,0,82,82,10669,"[""Nerub-ar Palace""]"
2024-12-09T00:00:00.000Z,2,0,81,81,10285,"[""Nerub-ar Palace""]"
2024-12-16T00:00:00.000Z,3,1,124,125,11180,"[""Nerub-ar Palace""]"
2024-12-23T00:00:00.000Z,1,12,5,17,3691,"[""Nerub-ar Palace""]"
2025-01-06T00:00:00.000Z,2,0,77,77,9305,"[""Nerub-ar Palace""]"
2025-01-13T00:00:00.000Z,2,7,49,56,7941,"[""Nerub-ar Palace""]"
2025-01-20T00:00:00.000Z,2,0,54,54,10005,"[""Nerub-ar Palace""]"
2025-01-27T00:00:00.000Z,2,1,36,37,8484,"[""Nerub-ar Palace""]"
2025-02-03T00:00:00.000Z,2,0,67,67,9125,"[""Nerub-ar Palace""]"
2025-02-10T00:00:00.000Z,1,0,35,35,5380,"[""Nerub-ar Palace""]"
2025-02-17T00:00:00.000Z,3,0,72,72,13998,"[""Nerub-ar Palace""]"
2025-02-24T00:00:00.000Z,4,0,83,83,15880,"[""Nerub-ar Palace""]"
2025-03-03T00:00:00.000Z,3,17,48,65,13774,"[""Liberation of Undermine"",""Nerub-ar Palace""]"
2025-03-10T00:00:00.000Z,3,26,30,56,12370,"[""Liberation of Undermine""]"
2025-03-17T00:00:00.000Z,3,21,38,59,13892,"[""Liberation of Undermine""]"
2025-03-24T00:00:00.000Z,3,11,52,63,14646,"[""Liberation of Undermine""]"
2025-03-31T00:00:00.000Z,2,8,45,53,11576,"[""Liberation of Undermine""]"
2025-04-07T00:00:00.000Z,3,13,38,51,10220,"[""Liberation of Undermine""]"
2025-04-14T00:00:00.000Z,3,13,58,71,15997,"[""Liberation of Undermine""]"
2025-04-21T00:00:00.000Z,2,9,48,57,9124,"[""Liberation of Undermine""]"
2025-04-28T00:00:00.000Z,3,15,61,76,12763,"[""Liberation of Undermine""]"
2025-05-05T00:00:00.000Z,2,8,55,63,10820,"[""Liberation of Undermine""]"
2025-05-12T00:00:00.000Z,2,8,12,20,4133,"[""Liberation of Undermine""]"
2025-05-19T00:00:00.000Z,3,9,40,49,9367,"[""Liberation of Undermine""]"
2025-05-26T00:00:00.000Z,2,4,67,71,9846,"[""Liberation of Undermine""]"
2025-06-02T00:00:00.000Z,2,5,43,48,8293,"[""Liberation of Undermine""]"
2025-06-09T00:00:00.000Z,2,4,56,60,10358,"[""Liberation of Undermine""]"
2025-06-16T00:00:00.000Z,2,8,34,42,7102,"[""Liberation of Undermine""]"
2025-06-23T00:00:00.000Z,2,0,56,56,11406,"[""Liberation of Undermine""]"
2025-06-30T00:00:00.000Z,3,9,41,50,9912,"[""Liberation of Undermine""]"
2025-07-07T00:00:00.000Z,2,0,71,71,8149,"[""Liberation of Undermine""]"
2025-07-14T00:00:00.000Z,2,1,44,45,9678,"[""Liberation of Undermine""]"
2025-07-28T00:00:00.000Z,2,16,12,28,5301,"[""Liberation of Undermine""]"
2025-08-11T00:00:00.000Z,1,10,7,17,3498,"[""Manaforge Omega""]"
2025-08-18T00:00:00.000Z,2,18,18,36,8985,"[""Manaforge Omega""]"
2025-08-25T00:00:00.000Z,3,17,41,58,15530,"[""Manaforge Omega""]"
2025-09-01T00:00:00.000Z,2,10,39,49,10502,"[""Manaforge Omega""]"
2025-09-08T00:00:00.000Z,3,13,47,60,12534,"[""Manaforge Omega""]"
2025-09-15T00:00:00.000Z,2,7,52,59,10532,"[""Manaforge Omega""]"
2025-09-22T00:00:00.000Z,2,4,59,63,11293,"[""Manaforge Omega""]"
2025-09-29T00:00:00.000Z,2,6,31,37,7260,"[""Manaforge Omega""]"
2025-10-06T00:00:00.000Z,2,5,52,57,9187,"[""Manaforge Omega""]"
2025-10-13T00:00:00.000Z,2,6,40,46,9648,"[""Manaforge Omega""]"
2025-10-20T00:00:00.000Z,3,1,119,120,16023,"[""Manaforge Omega""]"
2025-10-27T00:00:00.000Z,4,0,148,148,24111,"[""Manaforge Omega""]"
2025-11-03T00:00:00.000Z,4,2,96,98,17128,"[""Manaforge Omega""]"
2025-11-17T00:00:00.000Z,2,8,51,59,6893,"[""Manaforge Omega""]"
2025-11-24T00:00:00.000Z,2,0,88,88,9746,"[""Manaforge Omega""]"
2025-12-01T00:00:00.000Z,1,7,38,45,7409,"[""Manaforge Omega""]"
2025-12-08T00:00:00.000Z,2,0,68,68,9430,"[""Manaforge Omega""]"
2025-12-15T00:00:00.000Z,2,0,60,60,10550,"[""Manaforge Omega""]"
2026-01-05T00:00:00.000Z,1,0,32,32,5742,"[""Manaforge Omega""]"
2026-01-12T00:00:00.000Z,2,0,59,59,12670,"[""Manaforge Omega""]"
2026-01-19T00:00:00.000Z,2,1,52,53,16447,"[""Manaforge Omega""]"
2026-01-26T00:00:00.000Z,1,10,22,32,5324,"[""Manaforge Omega""]"
2026-02-02T00:00:00.000Z,1,1,8,9,1968,"[""Manaforge Omega""]"
2026-03-16T00:00:00.000Z,1,7,10,17,5786,"[""VS / DR / MQD""]"
2026-03-23T00:00:00.000Z,3,18,18,36,10550,"[""VS / DR / MQD""]"
2026-03-30T00:00:00.000Z,2,10,31,41,11200,"[""VS / DR / MQD""]"
2026-04-06T00:00:00.000Z,2,10,32,42,10480,"[""VS / DR / MQD""]"
2026-04-13T00:00:00.000Z,1,0,3,3,395,"[""VS / DR / MQD""]"
