player_name,player_class,role,primary_spec,encounter_id,boss_name,zone_name,difficulty,difficulty_label,kills_on_boss,avg_throughput_per_second,best_throughput_per_second,latest_throughput_per_second,throughput_trend,avg_rank_percent,best_rank_percent,avg_item_level,first_kill_date,latest_kill_date
Roadruid,Druid,dps,Balance,1094,Malygos,Castle Nathria,3,Normal,1,null,null,null,null,null,null,226.0,2021-03-25,2021-03-25
Bami,Mage,dps,Arcane,1094,Malygos,Castle Nathria,3,Normal,1,null,null,null,null,null,null,223.0,2021-03-25,2021-03-25
Retball,Paladin,dps,Retribution,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,4764,4764,4764,null,99.0,99.0,216.0,2021-01-31,2021-01-31
Pangbruden,Hunter,dps,Marksmanship,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,4174,4174,4174,null,87.0,87.0,215.0,2021-01-31,2021-01-31
Leiya,Warlock,dps,Affliction,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,3693,3693,3693,null,67.0,67.0,201.0,2021-01-31,2021-01-31
Bami,Mage,dps,Arcane,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,3476,3476,3476,null,91.0,91.0,214.0,2021-01-31,2021-01-31
Larssonock,Warlock,dps,Affliction,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,3406,3406,3406,null,56.0,56.0,186.0,2021-01-31,2021-01-31
Fireraizel,Mage,dps,Fire,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,3107,3107,3107,null,57.0,57.0,209.0,2021-01-31,2021-01-31
Slînks,Hunter,dps,Survival,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,1232,1232,1232,null,10.0,10.0,191.0,2021-01-31,2021-01-31
Fibre,Mage,dps,Fire,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,1219,1219,1219,null,3.0,3.0,171.0,2021-01-31,2021-01-31
Carbomb,Warlock,dps,Affliction,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,1013,1013,1013,null,2.0,2.0,187.0,2021-01-31,2021-01-31
Inthemud,Monk,dps,Windwalker,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,956,956,956,null,8.0,8.0,199.0,2021-01-31,2021-01-31
Woknpho,Monk,dps,Windwalker,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,591,591,591,null,4.0,4.0,200.0,2021-01-31,2021-01-31
Tichonus,Monk,dps,Windwalker,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,348,348,348,null,2.0,2.0,187.0,2021-01-31,2021-01-31
Bashin,Warrior,dps,Arms,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,257,257,257,null,1.0,1.0,200.0,2021-01-31,2021-01-31
Zanelor,Paladin,healer,Holy,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,1391,1391,1391,null,92.0,92.0,200.0,2021-01-31,2021-01-31
Yeviel,Paladin,healer,Holy,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,961,961,961,null,72.0,72.0,213.0,2021-01-31,2021-01-31
Sophiemae,Priest,healer,Holy,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,475,475,475,null,92.0,92.0,213.0,2021-01-31,2021-01-31
Leanus,Druid,tank,Guardian,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,2185,2185,2185,null,96.0,96.0,218.0,2021-01-31,2021-01-31
Cutiefoxxo,DeathKnight,tank,Blood,2383,Hungering Destroyer,Castle Nathria,3,Normal,1,1582,1582,1582,null,56.0,56.0,204.0,2021-01-31,2021-01-31
Roague,Rogue,dps,Outlaw,2383,Hungering Destroyer,Castle Nathria,4,Heroic,1,21689,21689,21689,null,95.0,95.0,294.0,2022-09-14,2022-09-14
Zinsimps,Warlock,dps,Demonology,2383,Hungering Destroyer,Castle Nathria,4,Heroic,1,21015,21015,21015,null,87.0,87.0,301.0,2022-09-14,2022-09-14
Lilmeowdy,Rogue,dps,Outlaw,2383,Hungering Destroyer,Castle Nathria,4,Heroic,1,19754,19754,19754,null,89.0,89.0,299.0,2022-09-14,2022-09-14
Temra,Warlock,dps,Demonology,2383,Hungering Destroyer,Castle Nathria,4,Heroic,1,18846,18846,18846,null,81.0,81.0,295.0,2022-08-24,2022-08-24
Ghostsnvodka,Warlock,dps,Demonology,2383,Hungering Destroyer,Castle Nathria,4,Heroic,1,18346,18346,18346,null,73.0,73.0,296.0,2022-09-14,2022-09-14
Bobstrap,Hunter,dps,Survival,2383,Hungering Destroyer,Castle Nathria,4,Heroic,1,17944,17944,17944,null,77.0,77.0,299.0,2022-09-14,2022-09-14
