player_name,player_class,role,primary_spec,encounter_id,boss_name,zone_name,difficulty,difficulty_label,kills_on_boss,avg_throughput_per_second,best_throughput_per_second,latest_throughput_per_second,throughput_trend,avg_rank_percent,best_rank_percent,avg_item_level,first_kill_date,latest_kill_date
Yearningwar,Warrior,dps,Arms,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,974070,974070,974070,null,49.0,49.0,603.0,2024-10-06,2024-10-06
Unrecorded,Mage,dps,Arcane,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,7,971140,1470291,1470291,51.4,54.0,82.0,612.7,2024-09-16,2024-11-24
Medoyssa,DemonHunter,dps,Havoc,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,963705,963705,963705,null,34.0,34.0,618.0,2025-01-13,2025-01-13
Clomp,Mage,dps,Frost,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,4,935829,1069328,1069328,14.3,63.3,82.0,603.3,2024-09-16,2024-09-25
Ollieyay,DeathKnight,dps,Unholy,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,4,930811,1054944,1054944,13.3,36.5,53.0,607.5,2024-09-16,2024-10-09
Harrowmount,Monk,dps,Windwalker,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,2,927150,997345,856956,-7.6,42.0,55.0,604.0,2024-10-06,2024-10-13
Sprutpessen,Druid,dps,Balance,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,889444,889444,889444,null,34.0,34.0,620.0,2024-12-29,2024-12-29
Smonkste,Monk,dps,Windwalker,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,888138,888138,888138,null,35.0,35.0,614.0,2024-10-06,2024-10-06
Eruptshooter,Hunter,dps,BeastMastery,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,4,884380,976466,955162,8.0,33.8,39.0,619.3,2024-10-06,2025-01-13
Turbohot,Hunter,dps,BeastMastery,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,6,878388,945294,846030,-3.7,66.5,77.0,610.7,2024-09-16,2024-10-09
Larssondk,DeathKnight,dps,Frost,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,876752,876752,876752,null,28.0,28.0,600.0,2024-09-16,2024-09-16
Bigbeartank,Druid,dps,Balance,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,2,872033,988896,755171,-13.4,50.0,70.0,613.0,2024-10-02,2024-10-09
Keeksa,DemonHunter,dps,Havoc,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,868293,868293,868293,null,31.0,31.0,619.0,2024-10-13,2024-10-13
Gigacodders,DemonHunter,dps,Havoc,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,824334,824334,824334,null,35.0,35.0,602.0,2024-09-16,2024-09-16
Hobbyalkis,Rogue,dps,Assassination,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,6,817706,1253170,1253170,53.3,52.7,86.0,610.8,2024-09-16,2024-10-09
Leanus,Druid,dps,Balance,2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,1,757714,757714,509501,null,30.0,30.0,609.0,2024-10-13,2024-10-13
