player_name,player_class,realm,role,primary_spec,kills_tracked,avg_throughput_per_second,best_throughput_per_second,avg_rank_percent,best_rank_percent,avg_item_level,last_seen_date
Betterjngler,Druid,TwistingNether,dps,Balance,5,4488,5633,52.8,68.0,215.2,2021-02-24
Fido,Warrior,Thrall,dps,Arms,8,4471,6730,32.4,69.0,239.0,2021-08-15
Roalock,Warlock,TwistingNether,dps,Affliction,26,4469,7216,51.5,89.0,209.6,2022-03-16
Сакросанктус,Mage,Ревущийфьорд,dps,Fire,2,4449,4450,64.0,64.0,217.0,2021-03-21
Неровипус,DeathKnight,Голдринн,dps,Unholy,1,4440,4440,37.0,37.0,214.0,2021-04-04
Crackid,Rogue,Hyjal,dps,Assassination,2,4408,5389,35.0,45.0,226.0,2021-08-10
Ногромз,Warlock,Ревущийфьорд,dps,Destruction,5,4392,5608,45.6,67.0,235.0,2021-09-02
Zigzago,DeathKnight,Draenor,dps,Unholy,1,4391,4391,21.0,21.0,234.0,2021-08-29
Goonlock,Warlock,TarrenMill,dps,Affliction,11,4372,5262,56.2,92.0,217.4,2021-03-03
Mixtus,Warlock,TwistingNether,dps,Affliction,75,4355,7751,44.7,88.0,215.7,2021-04-14
Cryliz,Warrior,Blackrock,dps,Arms,2,4350,5365,9.5,10.0,230.0,2021-09-03
Шпнедамажат,Priest,СвежевательДуш,dps,Shadow,1,4349,4349,40.0,40.0,217.0,2021-04-04
Vein,Warrior,ShatteredHand,dps,Arms,1,4324,4324,79.0,79.0,213.0,2021-03-12
Tjackisen,Rogue,TwistingNether,dps,Subtlety,21,4301,5409,73.0,97.0,214.0,2021-02-03
Wackya,Warrior,TwistingNether,dps,Fury,31,4297,6469,71.5,92.0,215.2,2021-04-14
Bôomshot,Hunter,TarrenMill,dps,Marksmanship,2,4288,4650,50.0,78.0,216.0,2021-03-12
Rwbyrose,Rogue,Blackhand,dps,Outlaw,5,4245,5058,89.4,91.0,220.0,2021-03-25
Фцуяччц,Druid,Ревущийфьорд,dps,Balance,10,4243,6065,30.1,47.0,231.0,2021-08-10
Dancebear,Druid,TwistingNether,dps,Balance,23,4226,6069,41.9,75.0,216.0,2021-03-29
Elishro,Rogue,Ragnaros,dps,Assassination,10,4217,6676,19.6,30.0,218.0,2021-09-02
Mortaa,Druid,Eredar,dps,Balance,1,4210,4210,68.0,68.0,215.0,2021-03-12
Жуткаякорова,Druid,Ревущийфьорд,dps,Balance,1,4192,4192,87.0,87.0,218.0,2021-03-25
Zethrock,Warlock,TwistingNether,dps,Affliction,7,4170,5597,57.0,80.0,219.0,2021-03-28
Glome,Priest,Ragnaros,dps,Shadow,2,4147,4147,89.0,89.0,229.0,2021-03-14
Yoltoar,Hunter,TwistingNether,dps,Marksmanship,54,4117,5945,42.5,92.0,217.2,2021-03-15
Noroku,Druid,TwistingNether,dps,Balance,32,4084,7924,43.9,94.0,214.0,2021-04-14
Selenn,Hunter,TwistingNether,dps,Marksmanship,6,4081,5720,56.2,74.0,217.0,2021-03-28
Iahn,Warrior,Kazzak,dps,Fury,2,4073,4578,56.0,57.0,220.0,2021-04-04
Deadstripper,DeathKnight,TwistingNether,dps,Unholy,8,4052,4617,48.8,60.0,213.0,2021-02-24
Decoý,DemonHunter,Kazzak,dps,Havoc,2,4030,4917,89.0,95.0,223.0,2021-03-12
