encounter_id,boss_name,zone_name,difficulty,difficulty_label,total_wipes,best_wipe_pct,avg_wipe_pct,avg_last_phase,max_phase_reached,avg_wipe_duration_seconds,longest_wipe_seconds,first_wipe_date,latest_wipe_date,raid_nights_attempted,avg_wipe_pct_rounded
2434,Soulrender Dormazain,Sanctum of Domination,5,Mythic,56,1.25,56.48339285714286,0.0,0,233.05357142857142,474,2021-09-22,2021-09-29,3,56.5
3132,Forgeweaver Araz,Manaforge Omega,3,Normal,1,6.37,6.37,2.0,2,221.0,221,2025-11-23,2025-11-23,1,6.4
3045,General Angerforge,Blackrock Depths,3,Normal,1,100.0,100.0,0.0,0,65.0,65,2024-10-23,2024-10-23,1,100.0
2683,Magmorax,"Aberrus, the Shadowed Crucible",4,Heroic,1,41.94,41.94,0.0,0,158.0,158,2023-05-15,2023-05-15,1,41.9
2737,Volcoross,"Amirdrassil, the Dream's Hope",4,Heroic,6,3.32,32.526666666666664,0.0,0,165.0,236,2023-11-20,2024-01-07,5,32.5
2898,"Sikran, Captain of the Sureki",Nerub-ar Palace,4,Heroic,4,24.49,62.714999999999996,0.0,0,110.5,198,2024-09-16,2024-09-22,3,62.7
3133,Fractillus,Manaforge Omega,3,Normal,3,8.18,24.826666666666664,0.0,0,217.0,355,2025-08-13,2025-11-23,2,24.8
3042,Lord Roccor,Blackrock Depths,4,Heroic,2,61.83,62.04,0.0,0,116.0,132,2024-10-27,2024-10-27,1,62.0
2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",5,Mythic,27,4.49,48.330740740740744,1.0,1,192.0,415,2023-11-29,2024-05-13,7,48.3
2922,Queen Ansurek,Manaforge Omega,5,Mythic,3,19.94,24.2,2.3333333333333335,3,159.0,183,2026-01-26,2026-01-26,1,24.2
3129,Plexus Sentinel,Manaforge Omega,3,Normal,1,77.59,77.59,1.0,1,38.0,38,2025-11-23,2025-11-23,1,77.6
2423,The Tarragrue,Sanctum of Domination,3,Normal,1,30.73,30.73,1.0,1,312.0,312,2021-07-07,2021-07-07,1,30.7
