name,realm_slug,rank,class_id,class_name,level,_source,_ingested_at,_file_path
Ragret,twisting-nether,6,12,,90,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Microkick,argent-dawn,9,10,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Freshkick,twisting-nether,9,10,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Gretsmoker,twisting-nether,9,8,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Regretamine,twisting-nether,9,6,,82,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Evestirwin,twisting-nether,3,12,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Getfresh,twisting-nether,9,1,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Freshp,twisting-nether,9,5,,60,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Badassgal,twisting-nether,9,12,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Pissfreak,twisting-nether,9,5,,45,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Riyah,defias-brotherhood,6,1,,81,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Oxhorde,twisting-nether,3,11,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Badraider,twisting-nether,9,9,,90,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Grettie,twisting-nether,9,5,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
