player_name,player_class,realm,is_guild_member,rank,rank_label,rank_category,is_raid_team,primary_role,primary_spec,kills_tracked,avg_throughput_per_second,avg_rank_percent,avg_bracket_percent,best_rank_percent,avg_item_level,avg_active_time_pct,zones_raided,first_kill_date,latest_kill_date,total_raids_tracked,raids_present,attendance_rate_pct
Temra,Warlock,TwistingNether,True,3,Officer Alt,Officer,True,dps,Demonology,395,,,,,378.9,,"['Sanctum of Domination' 'Aberrus, the Shadowed Crucible'
 ""Amirdrassil, the Dream's Hope"" 'Sepulcher of the First Ones'
 'Vault of the Incarnates' 'Castle Nathria' 'Nerub-ar Palace']",2021-04-18,2024-10-06,121,121,100.0
Waterfalls,Shaman,TwistingNether,True,3,Officer Alt,Officer,True,healer,Restoration,27,,,,,586.9,,['Nerub-ar Palace'],2024-09-15,2024-09-29,3,3,100.0
Yeviel,Paladin,TwistingNether,True,3,Officer Alt,Officer,True,healer,Holy,309,,,,,344.4,,['Sanctum of Domination' 'Liberation of Undermine' 'Castle Nathria'],2021-01-25,2025-07-16,116,116,100.0
Yevoo,Monk,TwistingNether,True,3,Officer Alt,Officer,True,healer,Mistweaver,26,,,,,539.7,,['Nerub-ar Palace' 'Vault of the Incarnates' 'Liberation of Undermine'],2023-02-26,2025-03-09,4,4,100.0
Zerodrama,Warrior,TwistingNether,True,4,Officer Alt,Officer,True,dps,Fury,171,,,,,302.5,,"['Vault of the Incarnates' 'Sanctum of Domination'
 'Aberrus, the Shadowed Crucible' 'Sepulcher of the First Ones']",2021-08-08,2023-06-04,33,33,100.0
Bigboiples,Druid,TwistingNether,True,5,Raider,Raider,True,healer,Restoration,796,,,,,513.0,,"['Blackrock Depths' 'Aberrus, the Shadowed Crucible' 'Nerub-ar Palace'
 'Sepulcher of the First Ones' 'Liberation of Undermine'
 'Vault of the Incarnates' 'Castle Nathria'
 ""Amirdrassil, the Dream's Hope"" 'Manaforge Omega' 'VS / DR / MQD']",2022-09-12,2026-04-08,259,259,100.0
Budgetgoku,Paladin,TwistingNether,True,5,Raider,Raider,True,tank,Protection,172,,,,,531.2,,"['Liberation of Undermine' 'VS / DR / MQD' ""Amirdrassil, the Dream's Hope""
 'Nerub-ar Palace' 'Manaforge Omega']",2023-12-10,2026-04-08,57,57,100.0
Everrin,Evoker,TwistingNether,True,5,Raider,Raider,True,healer,Preservation,45,,,,,260.9,,['VS / DR / MQD'],2026-03-18,2026-04-08,9,9,100.0
Garsias,Shaman,TarrenMill,True,5,Raider,Raider,True,healer,Restoration,141,,,,,520.1,,['VS / DR / MQD' 'Manaforge Omega'],2025-08-13,2026-04-08,54,54,100.0
Jumzo,Paladin,Sylvanas,True,5,Raider,Raider,True,dps,Retribution,319,,,,,613.9,,"['Nerub-ar Palace' 'Liberation of Undermine' 'VS / DR / MQD'
 'Manaforge Omega' 'Blackrock Depths']",2024-09-15,2026-04-08,100,100,100.0
Karllia,DemonHunter,ArgentDawn,True,5,Raider,Raider,True,dps,Devourer,60,,,,,348.4,,['Manaforge Omega' 'VS / DR / MQD'],2025-10-20,2026-04-08,36,36,100.0
Midnight,Mage,Silvermoon,True,5,Raider,Raider,True,dps,Frost,55,,,,,242.0,,['Manaforge Omega' 'VS / DR / MQD'],2026-01-26,2026-04-08,10,10,100.0
Sebaheoung,Warlock,TwistingNether,True,5,Raider,Raider,True,dps,Demonology,223,,,,,547.5,,"['Nerub-ar Palace' 'Liberation of Undermine' 'Vault of the Incarnates'
 'VS / DR / MQD' 'Manaforge Omega']",2024-08-19,2026-04-08,56,56,100.0
Turbohot,Hunter,TwistingNether,True,5,Raider,Raider,True,dps,Marksmanship,661,,,,,508.7,,"['Vault of the Incarnates' 'Sanctum of Domination'
 'Aberrus, the Shadowed Crucible' 'Liberation of Undermine'
 'Nerub-ar Palace' 'Manaforge Omega' 'VS / DR / MQD'
 ""Amirdrassil, the Dream's Hope"" 'Sepulcher of the First Ones']",2022-03-02,2026-04-08,210,210,100.0
Yearning,Monk,TwistingNether,True,5,Raider,Raider,True,dps,Windwalker,414,,,,,562.1,,"[""Amirdrassil, the Dream's Hope"" 'Manaforge Omega' 'VS / DR / MQD'
 'Liberation of Undermine' 'Vault of the Incarnates' 'Nerub-ar Palace'
 'Aberrus, the Shadowed Crucible']",2024-01-10,2026-04-08,118,118,100.0
Bpd,Warlock,TwistingNether,True,8,Trial,Trial,True,dps,Destruction,122,,,,,572.3,,['Liberation of Undermine' 'VS / DR / MQD'],2025-03-05,2026-03-30,26,26,100.0
Estrogel,Evoker,TwistingNether,True,8,Trial,Trial,True,dps,Augmentation,19,,,,,269.0,,['VS / DR / MQD'],2026-04-01,2026-04-08,4,4,100.0
Jointsuckerr,Shaman,TwistingNether,True,8,Trial,Trial,True,dps,Elemental,26,,,,,369.8,,['VS / DR / MQD' 'Nerub-ar Palace'],2024-09-15,2026-04-08,5,5,100.0
Lunasnow,Mage,TwistingNether,True,8,Trial,Trial,True,dps,Frost,45,,,,,262.6,,['VS / DR / MQD'],2026-03-18,2026-04-08,8,8,100.0
Megachomber,DeathKnight,Ravencrest,True,8,Trial,Trial,True,dps,Unholy,45,,,,,257.4,,['VS / DR / MQD'],2026-03-18,2026-04-08,9,9,100.0
Pompqmoi,Mage,TwistingNether,True,8,Trial,Trial,True,dps,Frost,13,,,,,260.5,,['VS / DR / MQD'],2026-03-25,2026-03-25,2,2,100.0
Rivey,Monk,DefiasBrotherhood,True,8,Trial,Trial,True,healer,Mistweaver,64,,,,,303.6,,['VS / DR / MQD' 'Manaforge Omega'],2025-11-23,2026-04-08,15,15,100.0
Selthiel,Priest,Ravencrest,True,8,Trial,Trial,True,healer,Holy,34,,,,,255.1,,['VS / DR / MQD'],2026-03-18,2026-04-01,5,5,100.0
Thype,Mage,Ravencrest,True,8,Trial,Trial,True,dps,Frost,7,,,,,236.0,,['VS / DR / MQD'],2026-03-18,2026-03-18,1,1,100.0
Typ,Warrior,Ravencrest,True,8,Trial,Trial,True,dps,Fury,30,,,,,259.0,,['VS / DR / MQD'],2026-03-23,2026-04-06,7,7,100.0
Zren,Hunter,Ravencrest,True,8,Trial,Trial,True,dps,Survival,45,,,,,262.9,,['VS / DR / MQD'],2026-03-18,2026-04-08,8,8,100.0
