report_code,fight_id,boss_name,encounter_id,difficulty,difficulty_label,zone_name,raid_night_date,duration_seconds,player_name,player_class,role,spec,avg_item_level,potion_use,healthstone_use,throughput_per_second,rank_percent,bracket_percent,rank_string
kQLMYvbjgFhNfRXZ,12,"Chimaerus, the Undreamt God",3306,4,Heroic,VS / DR / MQD,2026-04-01,335,Megachomber,DeathKnight,dps,Unholy,269.0,0,0,52790,51.0,9.0,~28120
hQk721BYrVTKgMwc,51,Nexus-King Salhadaar,3134,4,Heroic,Manaforge Omega,2025-08-27,331,Cogsy,Hunter,dps,BeastMastery,707.0,0,0,5161772,91.0,76.0,~1114
twn3R47hpGjBDHya,18,"Larodar, Keeper of the Flame",2731,4,Heroic,"Amirdrassil, the Dream's Hope",2023-12-06,222,Everzz,Shaman,dps,Enhancement,470.0,0,0,173041,68.0,78.0,~5900
HvJ6KkBRd4qD3yPx,26,Fractillus,3133,4,Heroic,Manaforge Omega,2025-08-18,281,Yearnvoker,Evoker,dps,Devastation,700.0,0,0,2900133,30.0,7.0,~2908
6NzHCPd9ZKDpgJ1t,20,The Silken Court,2921,4,Heroic,Nerub-ar Palace,2024-09-23,450,Televisions,Priest,dps,Shadow,612.0,0,0,1088892,83.0,56.0,~914
4ygtXrDWwhcTNPGp,9,The Bloodbound Horror,2917,4,Heroic,Nerub-ar Palace,2024-11-24,231,Roux,Rogue,dps,Assassination,604.0,0,0,440674,8.0,17.0,~24655
ngqd1JF4TtZmLMVv,17,The Council of Blood,2412,4,Heroic,Castle Nathria,2021-03-12,376,Dbway,Mage,dps,Fire,213.0,0,0,2361,17.0,18.0,~7596
hPLqFDxWZ3JmRBjT,16,Broodtwister Ovi'nax,2919,5,Mythic,Nerub-ar Palace,2024-11-25,474,Ashyminge,Mage,dps,Frost,631.0,0,0,1941717,18.0,26.0,~3016
k69nMBwcAtPd4fbV,35,Volcoross,2737,5,Mythic,"Amirdrassil, the Dream's Hope",2024-01-17,230,Ollieyay,DeathKnight,dps,Unholy,488.0,0,0,229866,89.0,83.0,~73
3YvCrVK1bgGBnHPZ,3,The Eye of the Jailer,2433,3,Normal,Sanctum of Domination,2021-08-15,215,Cryptod,DeathKnight,dps,Frost,228.0,0,0,3485,48.0,52.0,~2001
DWyKfvYraCZR9mJg,12,Queen Ansurek,2922,4,Heroic,Nerub-ar Palace,2024-10-07,400,Hobbyalkis,Rogue,dps,Assassination,616.0,0,0,927039,74.0,86.0,~2508
3JZjK7xVzDLnPWTq,11,Raszageth the Storm-Eater,2607,4,Heroic,Vault of the Incarnates,2023-01-16,623,Larssonhter,Hunter,dps,Marksmanship,406.0,0,0,51287,19.0,9.0,~8551
1JR3rTW7HjM928dC,11,Echo of Neltharion,2684,4,Heroic,"Aberrus, the Shadowed Crucible",2023-07-12,240,Roadruid,Druid,dps,Balance,444.0,0,0,80861,48.0,19.0,~1615
24M6G9yKnQf8tRqN,32,Sire Denathrius,2407,4,Heroic,Castle Nathria,2021-01-25,478,Pangbruden,Hunter,dps,BeastMastery,214.0,0,0,3097,29.0,25.0,~2149
AmWFQD1kV7xLHBaT,41,Gnarlroot,2820,4,Heroic,"Amirdrassil, the Dream's Hope",2024-05-08,141,Sprutpesse,Priest,dps,Shadow,511.0,0,0,343224,83.0,84.0,~1366
FZRrB6M1HKmDn38g,22,Assault of the Zaqali,2682,3,Normal,"Aberrus, the Shadowed Crucible",2023-05-22,46,Swolorno,Hunter,dps,Marksmanship,435.0,0,0,155651,99.0,83.0,~286
JNY1P9hgqwxLWby4,13,"Dathea, Ascended",2635,3,Normal,Vault of the Incarnates,2022-12-21,193,Smonkste,Monk,dps,Windwalker,386.0,0,0,34208,79.0,75.0,~3860
BNwd7DmQhGkxKpPc,7,Imperator Averzian,3176,5,Mythic,VS / DR / MQD,2026-04-06,420,Hobbyalkis,Rogue,dps,Subtlety,269.0,0,0,90213,56.0,53.0,~2159
8WnpVdcDXqkmxLQ3,36,The Silken Court,2921,4,Heroic,Nerub-ar Palace,2024-10-09,359,Explorer,Paladin,dps,Retribution,622.0,0,0,1074012,53.0,12.0,~23249
4xHQp8NCZ1FnrB3X,37,The Silken Court,2921,4,Heroic,Nerub-ar Palace,2024-09-25,433,Explorer,Paladin,dps,Retribution,613.0,0,0,923901,30.0,19.0,~11652
4ygtXrDWwhcTNPGp,32,The Silken Court,2921,4,Heroic,Nerub-ar Palace,2024-11-24,450,Ivaspear,Hunter,dps,Survival,630.0,0,0,615555,8.0,0.0,~13830
