report_code,fight_id,encounter_id,boss_name,zone_name,difficulty,difficulty_label,raid_night_date,is_kill,duration_seconds,player_name,player_class,role,spec,avg_item_level,potion_use,healthstone_use,crit_rating,haste_rating,mastery_rating,versatility_rating,throughput_per_second,rank_percent,bracket_percent,rank_string
dJDYmB9VrwFQj6PZ,24,2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",4,Heroic,2024-06-12,True,161,Magicwingers,Evoker,dps,Augmentation,520.0,0,0,4436,2552,8546,3560,268115,79.0,68.0,~250
kRH7K3ajVbG24hCP,10,2529,Halondrus the Reclaimer,Sepulcher of the First Ones,3,Normal,2022-03-09,True,291,Zrenak,Shaman,dps,Enhancement,257.0,0,0,480,752,1690,242,8324,71.0,26.0,~2827
jJR6C24cTLXDghrM,11,2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",5,Mythic,2023-07-10,True,292,Demboypaigon,Warrior,dps,Arms,440.0,0,0,4130,5330,2177,1773,111099,63.0,89.0,~520
kQLMYvbjgFhNfRXZ,12,3306,"Chimaerus, the Undreamt God",VS / DR / MQD,4,Heroic,2026-04-01,True,335,Megachomber,DeathKnight,dps,Unholy,269.0,0,0,843,727,538,95,52790,51.0,9.0,~28120
hQk721BYrVTKgMwc,51,3134,Nexus-King Salhadaar,Manaforge Omega,4,Heroic,2025-08-27,True,331,Cogsy,Hunter,dps,BeastMastery,707.0,0,0,11460,21704,16803,3871,5161772,91.0,76.0,~1114
twn3R47hpGjBDHya,18,2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",4,Heroic,2023-12-06,True,222,Everzz,Shaman,dps,Enhancement,470.0,0,0,2191,4305,4939,2622,173041,68.0,78.0,~5900
HvJ6KkBRd4qD3yPx,26,3133,Fractillus,Manaforge Omega,4,Heroic,2025-08-18,True,281,Yearnvoker,Evoker,dps,Devastation,700.0,0,0,10324,17779,11143,12318,2900133,30.0,7.0,~2908
6NzHCPd9ZKDpgJ1t,20,2921,The Silken Court,Nerub-ar Palace,4,Heroic,2024-09-23,True,450,Televisions,Priest,dps,Shadow,612.0,0,0,5595,16312,13677,1511,1088892,83.0,56.0,~914
4ygtXrDWwhcTNPGp,9,2917,The Bloodbound Horror,Nerub-ar Palace,4,Heroic,2024-11-24,True,231,Roux,Rogue,dps,Assassination,604.0,0,0,6545,5887,3728,8854,440674,8.0,17.0,~24655
ngqd1JF4TtZmLMVv,17,2412,The Council of Blood,Castle Nathria,4,Heroic,2021-03-12,True,376,Dbway,Mage,dps,Fire,213.0,0,0,285,656,18,866,2361,17.0,18.0,~7596
hPLqFDxWZ3JmRBjT,16,2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,2024-11-25,True,474,Ashyminge,Mage,dps,Frost,631.0,0,0,9364,8822,11439,11339,1941717,18.0,26.0,~3016
k69nMBwcAtPd4fbV,35,2737,Volcoross,"Amirdrassil, the Dream's Hope",5,Mythic,2024-01-17,True,230,Ollieyay,DeathKnight,dps,Unholy,488.0,0,0,3093,5037,5659,2482,229866,89.0,83.0,~73
3YvCrVK1bgGBnHPZ,3,2433,The Eye of the Jailer,Sanctum of Domination,3,Normal,2021-08-15,True,215,Cryptod,DeathKnight,dps,Frost,228.0,0,0,572,442,457,460,3485,48.0,52.0,~2001
DWyKfvYraCZR9mJg,12,2922,Queen Ansurek,Nerub-ar Palace,4,Heroic,2024-10-07,True,400,Hobbyalkis,Rogue,dps,Assassination,616.0,0,0,14900,6568,11831,2693,927039,74.0,86.0,~2508
3JZjK7xVzDLnPWTq,11,2607,Raszageth the Storm-Eater,Vault of the Incarnates,4,Heroic,2023-01-16,True,623,Larssonhter,Hunter,dps,Marksmanship,406.0,0,0,3666,1052,7267,2406,51287,19.0,9.0,~8551
1JR3rTW7HjM928dC,11,2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",4,Heroic,2023-07-12,True,240,Roadruid,Druid,dps,Balance,444.0,0,0,1916,4288,5068,1934,80861,48.0,19.0,~1615
24M6G9yKnQf8tRqN,32,2407,Sire Denathrius,Castle Nathria,4,Heroic,2021-01-25,True,478,Pangbruden,Hunter,dps,BeastMastery,214.0,0,0,480,711,238,377,3097,29.0,25.0,~2149
AmWFQD1kV7xLHBaT,41,2820,Gnarlroot,"Amirdrassil, the Dream's Hope",4,Heroic,2024-05-08,True,141,Sprutpesse,Priest,dps,Shadow,511.0,0,0,2860,6019,4598,4628,343224,83.0,84.0,~1366
FZRrB6M1HKmDn38g,22,2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,True,46,Swolorno,Hunter,dps,Marksmanship,435.0,0,0,4368,4366,2625,350,155651,99.0,83.0,~286
JNY1P9hgqwxLWby4,13,2635,"Dathea, Ascended",Vault of the Incarnates,3,Normal,2022-12-21,True,193,Smonkste,Monk,dps,Windwalker,386.0,0,0,3940,1248,950,2193,34208,79.0,75.0,~3860
BNwd7DmQhGkxKpPc,7,3176,Imperator Averzian,VS / DR / MQD,5,Mythic,2026-04-06,True,420,Hobbyalkis,Rogue,dps,Subtlety,269.0,0,0,625,618,864,110,90213,56.0,53.0,~2159
8WnpVdcDXqkmxLQ3,36,2921,The Silken Court,Nerub-ar Palace,4,Heroic,2024-10-09,True,359,Explorer,Paladin,dps,Retribution,622.0,0,0,10974,3347,17068,2939,1074012,53.0,12.0,~23249
4xHQp8NCZ1FnrB3X,37,2921,The Silken Court,Nerub-ar Palace,4,Heroic,2024-09-25,True,433,Explorer,Paladin,dps,Retribution,613.0,0,0,9411,5945,16381,2688,923901,30.0,19.0,~11652
4ygtXrDWwhcTNPGp,32,2921,The Silken Court,Nerub-ar Palace,4,Heroic,2024-11-24,True,450,Ivaspear,Hunter,dps,Survival,630.0,0,0,9507,9395,17847,1560,615555,8.0,0.0,~13830
