player_name,player_class,total_deaths,kills_tracked,deaths_per_kill,most_common_killing_blow,most_common_killing_blow_count,zones_died_in,last_death_timestamp_ms
Satelit,Paladin,4,8,0.5,Devour,2,"[""Nerub-ar Palace""]",4057989
Benjydk,DeathKnight,4,8,0.5,Falling,2,"[""Nerub-ar Palace""]",4327921
Vchytry,Evoker,4,8,0.5,Scatterblast Canisters,1,"[""Liberation of Undermine""]",4050288
Koyaanis,Paladin,4,8,0.5,Venting Heat,1,"[""Liberation of Undermine""]",4055241
Tîas,Hunter,3,6,0.5,Crystalline Shockwave,2,"[""Manaforge Omega""]",5225491
Yearnknight,DeathKnight,3,6,0.5,Enraged Tantrum,1,"[""Manaforge Omega""]",4727934
Saíthis,DemonHunter,2,4,0.5,Arcane Convergence,1,"[""Manaforge Omega""]",2896092
Drakefire,Hunter,2,4,0.5,Volatile Concoction,1,"[""Nerub-ar Palace""]",3751133
Ereasz,Priest,1,2,0.5,Blastburn Roarcannon,1,"[""Liberation of Undermine""]",1629571
Depsik,DeathKnight,1,2,0.5,Spewing Hemorrhage,1,"[""Nerub-ar Palace""]",7510353
Gaiablood,Druid,1,2,0.5,Grasp From Beyond,1,"[""Nerub-ar Palace""]",1458443
Norgramlol,Druid,1,2,0.5,Sticky Web,1,"[""Nerub-ar Palace""]",3699930
Callmefreak,DemonHunter,1,2,0.5,Atomize,1,"[""Manaforge Omega""]",4228326
Sternritters,Paladin,1,2,0.5,Scatterblast Canisters,1,"[""Liberation of Undermine""]",9204468
Sscarecroww,Hunter,1,2,0.5,Writhing Wave,1,"[""Manaforge Omega""]",4713654
Eclipsä,Priest,8,17,0.47,Melee,2,"[""Nerub-ar Palace""]",10467772
Alexmae,Priest,35,76,0.46,Grand Finale,2,"[""Manaforge Omega"",""Blackrock Depths"",""Liberation of Undermine"",""Nerub-ar Palace""]",364159573
Alexbuh,Hunter,40,88,0.45,Reckless Impact,7,"[""Nerub-ar Palace"",""Amirdrassil, the Dream's Hope"",""Vault of the Incarnates""]",16829955
Fibres,Mage,24,53,0.45,Dying Flare,5,"[""Nerub-ar Palace"",""Blackrock Depths""]",5835696
Fauxcoated,Monk,14,32,0.44,Crystalline Shockwave,4,"[""Vault of the Incarnates"",""Manaforge Omega""]",10816085
Zurco,Hunter,9,21,0.43,Blastburn Roarcannon,2,"[""Liberation of Undermine""]",9040183
Stevefromhr,Druid,3,7,0.43,Flaming Tree,1,"[""Amirdrassil, the Dream's Hope""]",4836874
Mægizk,Mage,11,26,0.42,Blazing Seed,2,"[""Aberrus, the Shadowed Crucible"",""Vault of the Incarnates"",""Amirdrassil, the Dream's Hope""]",4841157
Swanval,Hunter,11,26,0.42,Flame Waves,2,"[""Amirdrassil, the Dream's Hope"",""Nerub-ar Palace""]",6950029
Ravenious,Hunter,14,34,0.41,Melee,3,"[""Aberrus, the Shadowed Crucible"",""Nerub-ar Palace"",""Amirdrassil, the Dream's Hope"",""Vault of the Incarnates""]",5214880
Oceanblvd,Druid,6,15,0.4,Crystalline Shockwave,2,"[""Liberation of Undermine"",""Manaforge Omega""]",4735657
Krowniel,Hunter,2,5,0.4,Cataclysmic Entropy,1,"[""Nerub-ar Palace""]",2829081
Glerm,Hunter,2,5,0.4,Activate Inventions!,1,"[""Liberation of Undermine""]",5578984
Smonkste,Monk,56,145,0.39,Zagging Zizzler,6,"[""Liberation of Undermine"",""Nerub-ar Palace""]",10359432
Blackóút,Shaman,3,8,0.38,Gallybux Finale Blast,1,"[""Liberation of Undermine""]",5492530
Sansimilia,Paladin,3,8,0.38,Spike Eruption,1,"[""Nerub-ar Palace""]",2947459
Sebsebblinks,Mage,3,8,0.38,Acrid Presence,2,"[""Nerub-ar Palace""]",4723985
Snitchero,Rogue,3,8,0.38,Reaper,1,"[""Nerub-ar Palace""]",3373373
Sigfox,Priest,3,8,0.38,Atomized,1,"[""Nerub-ar Palace""]",3381502
Lko,DemonHunter,3,8,0.38,"1500-Pound \""Dud\""",2,"[""Liberation of Undermine""]",4039085
Hässle,Warrior,3,8,0.38,Cataclysmic Entropy,1,"[""Nerub-ar Palace""]",4611529
Ashminge,Mage,9,25,0.36,Shatter,2,"[""Aberrus, the Shadowed Crucible"",""Amirdrassil, the Dream's Hope"",""Vault of the Incarnates""]",4867500
Johnwoman,DemonHunter,22,64,0.34,Unstable Essence,5,"[""Aberrus, the Shadowed Crucible"",""Amirdrassil, the Dream's Hope""]",8441243
Meleeiseasy,DemonHunter,6,18,0.33,Amirdrassil Burns,1,"[""Amirdrassil, the Dream's Hope""]",8441256
Snowjobx,Mage,2,6,0.33,Cataclysmic Entropy,1,"[""Nerub-ar Palace""]",2826091
Nörbuc,Paladin,2,6,0.33,Enraged Tantrum,2,"[""Manaforge Omega""]",4797615
Furiadranzer,Warrior,1,3,0.33,Grand Finale,1,"[""Liberation of Undermine""]",8637460
Jils,Hunter,1,3,0.33,Haywire,1,"[""Liberation of Undermine""]",8655055
